skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8871884,7093814,889602,67971918,1085882,0,653604,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9448250,6772724,760088,70928928,1030022,0,638050
9069242,7121576,843206,70851200,1046906,0,635992,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9104312,6938288,768138,66978870,1056846,280,645722
9480016,6778478,936992,69944658,1032248,0,631750,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8861580,7085526,987224,68474084,1099042,0,652190
9329810,6879082,1211658,67486608,1039528,0,627200,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9027788,7256592,1224384,69296920,1073716,0,649068
8776964,7003192,1474788,67857972,1082158,14,655074,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9277282,6925380,1584618,71337644,1019144,294,633556
9146158,7275128,1661716,70815626,1040312,0,633122,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9142924,6895840,1937810,67499894,1061228,0,640626
9356564,6844376,2242030,71031548,1023736,0,632856,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9176174,7147784,4376666,70651098,1021790,0,628586
9050174,7263116,4353566,70989408,1043784,0,633780,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8848224,7087696,4114096,68971574,1095766,280,638260
9232104,6900712,4132296,67711378,1085952,0,655200,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9500386,6849822,3778068,67872756,1057546,0,640682
9434278,6787284,3635674,70209342,1034264,0,627256,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9071244,7292278,1977444,70706986,1033662,0,636846
8920996,7200760,699286,69495748,1080702,0,648088,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9211622,6917806,913458,68317606,1067836,280,645078
9496928,6827352,682416,68938016,1039332,0,635558,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9068206,6997158,659176,71745632,1026508,0,633724
9148146,7219590,976640,70911358,1020558,0,637546,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8915634,7170184,702268,68206474,1098944,0,650902
8826342,7060662,730380,69290312,1088402,0,651280,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9410954,6872726,684348,68715108,1050406,280,642320
9447284,6814262,954226,70994266,1035076,0,638666,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9214772,7078204,924882,72737434,1026718,0,630252
9035152,7145474,750792,72560054,1018738,0,633080,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8978018,7247100,620102,69618416,1068928,0,645008
8871702,7134512,892500,69038690,1092476,0,647878,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9375044,6881952,705376,66744286,1052660,280,645022
9452940,6817986,616056,68400108,1038198,0,641564,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9155328,7068516,627928,71021692,1024814,0,635740
9096850,7269402,816172,70225022,1021286,0,633724,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8944474,7226450,1238720,68220194,1074724,0,641830
8853488,7102550,852432,67923856,1094464,0,650888,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9086588,6944462,721000,66858008,1079484,294,651434
9454312,6846434,1000076,66452820,1062334,14,642964,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9373770,6874056,786772,70405090,1032710,0,629622
9211622,7066136,723856,70730744,1025304,0,636706,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8991920,7244482,693672,68461554,1045520,0,634130
