SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    1.06,    0.84,    8.93,    8.70,    1.03,    0.80,    0.90,    0.66,   11.92,   11.01,4263969619,   22.93,     11.92,     11.01,     22.93
    1.02,    0.80,    8.95,    8.72,    0.91,    0.68,    0.87,    0.64,   11.75,   10.84,4263962307,   22.59,     11.75,     10.84,     22.59
    1.11,    0.86,    9.03,    8.77,    0.95,    0.69,    0.91,    0.66,   12.00,   10.98,4268218233,   22.99,     12.00,     10.98,     22.99
    1.07,    0.84,    9.06,    8.81,    0.99,    0.75,    0.94,    0.71,   12.06,   11.11,4263784046,   23.17,     12.06,     11.11,     23.17
    1.36,    1.01,    9.29,    8.93,    1.20,    0.84,    1.13,    0.76,   12.97,   11.54,4263984006,   24.52,     12.97,     11.54,     24.52
    1.14,    0.92,    9.04,    8.82,    0.96,    0.73,    0.88,    0.65,   12.01,   11.13,4268262898,   23.14,     12.01,     11.13,     23.14
    1.12,    0.90,    9.04,    8.83,    1.00,    0.78,    0.92,    0.68,   12.09,   11.19,4263963610,   23.28,     12.09,     11.19,     23.28
    1.09,    0.88,    9.04,    8.82,    1.00,    0.78,    0.95,    0.74,   12.09,   11.22,4263964103,   23.30,     12.09,     11.22,     23.30
    1.04,    0.84,    9.08,    8.87,    0.95,    0.74,    1.00,    0.78,   12.07,   11.23,4268223537,   23.30,     12.07,     11.23,     23.30
    1.35,    0.99,    9.29,    8.93,    1.22,    0.85,    1.23,    0.86,   13.09,   11.62,4263950410,   24.71,     13.09,     11.62,     24.71
    1.13,    0.90,    9.04,    8.81,    1.00,    0.77,    0.96,    0.73,   12.12,   11.22,4268011762,   23.34,     12.12,     11.22,     23.34
    1.10,    0.89,    9.04,    8.84,    0.93,    0.71,    0.91,    0.70,   11.98,   11.14,4263977482,   23.13,     11.98,     11.14,     23.13
    1.18,    0.94,    9.13,    8.88,    0.99,    0.74,    1.02,    0.77,   12.32,   11.34,4263965915,   23.65,     12.32,     11.34,     23.65
