skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9318624,6859006,1473612,72917544,1035552,0,556346
9070208,6939170,1508682,71918252,1044148,0,558096,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9132368,7247478,1683892,68071626,1113672,0,329630
8466990,6173930,1214122,60057060,1112230,0,328468,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8445318,6304914,1316882,59437896,1115128,0,332864
8458408,6226668,1406622,59270596,1122198,0,333382,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8465072,6181266,1190476,59225544,1110648,0,334418
8468474,6170374,1280524,59223024,1109794,0,334390,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8480584,6045046,1297646,59116540,1076922,0,334432
8457946,6067054,1187410,59635828,1075914,0,334502,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8446508,6131664,1377292,59795694,1070720,0,336574
8429428,6088964,1323672,59475122,1096424,0,335342,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8447250,6158600,1485134,58601326,1105720,0,332402
8451366,6157760,1571976,58366868,1111054,0,330736,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8454782,6223266,1277360,58526076,1103620,14,330134
8462048,6249110,1275722,58635990,1102122,14,332766,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9405340,6809054,1484168,72081408,1053696,0,565530
