Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708641791,Device: id=0,TX,4.5107794471797,9238.0752838323,9959.799995381,1005613018,128600580352
1708641792,Device: id=0,TX,4.5060607136546,9228.4113175693,9949.381031754,1010119099,129754136960
1708641793,Device: id=0,TX,4.5068647908858,9230.0580677381,9951.1564342798,1014625981,130907898624
1708641794,Device: id=0,TX,4.5034575035582,9223.0799432945,9943.6331438638,1019129471,132060791936
1708641795,Device: id=0,TX,4.5108778026915,9238.2767159125,9960.0171643432,1023640350,133215576832
1708641796,Device: id=0,TX,4.5111009248415,9238.7316220789,9960.5077700535,1028151456,134370419584
1708641797,Device: id=0,TX,4.5100996341472,9236.6850747307,9958.3010161942,1032661568,135525008384
1708641798,Device: id=0,TX,4.5111621686889,9238.8590974766,9960.6450444668,1037172738,136679867776
1708641799,Device: id=0,TX,4.5106195093001,9237.7477310477,9959.4468525357,1041683362,137834587392
1708641800,Device: id=0,TX,4.5099817784099,9236.4416581842,9958.0387427298,1046193347,138989143424
1708641801,Device: id=0,TX,4.5110849894223,9238.7010343416,9960.4746326492,1050704453,140143986432
1708641802,Device: id=0,TX,4.5104340149279,9237.3678385865,9959.037280975,1055214949,141298673280
1708641803,Device: id=0,TX,4.5087514945573,9233.9220368575,9955.3222759866,1059723719,142452918272
1708641804,Device: id=0,TX,4.464818188629,9143.9466263152,9858.3175364958,1064188550,143595914880
1708641805,Device: id=0,TX,4.5100756662146,9236.6339404092,9958.2460470035,1068698633,144750496000
1708641806,Device: id=0,TX,4.5108260209128,9238.1686188662,9959.9007822122,1073209513,145905280896
1708641807,Device: id=0,TX,4.5108827481143,9238.288892131,9960.0301318293,1077720427,147060075008
1708641808,Device: id=0,TX,7.9169779290434,7336.4465675382,8603.1630361852,1085637412,147977131648
1708641809,Device: id=0,TX,11.020862700736,5642.6827267742,7406.020758892,1096658305,148682468928
1708641810,Device: id=0,TX,11.06168758256,5663.584042271,7433.4540554806,1107720000,149390417408
1708641811,Device: id=0,TX,11.076390399823,5671.1123967094,7443.3348606811,1118796394,150099306688
1708641812,Device: id=0,TX,11.043503440405,5654.2742734854,7421.2348239501,1129839940,150806093696
1708641813,Device: id=0,TX,11.086859886688,5676.4732859828,7450.3708678528,1140926813,151515653696
1708641814,Device: id=0,TX,10.868359789158,5564.6002120488,7303.537778314,1151795221,152211231808
1708641815,Device: id=0,TX,11.067073205712,5666.3419933226,7437.0737062366,1162862339,152919527424
1708641816,Device: id=0,TX,11.075456798487,5670.6313208454,7442.7044086033,1173937883,153628361920
1708641817,Device: id=0,TX,11.070254069186,5667.9705954211,7439.2112464908,1185008181,154336861056
1708641818,Device: id=0,TX,11.057380278241,5661.3792144566,7430.5600589752,1196065627,155044537664
1708641819,Device: id=0,TX,11.034499474311,5649.6673148409,7415.1872307306,1207100146,155750747328
1708641820,Device: id=0,TX,11.024039778238,5644.3058064603,7408.1521709784,1218124197,156456286272
1708641821,Device: id=0,TX,11.05695220426,5661.1600405788,7430.2723932604,1229181202,157163934656
1708641822,Device: id=0,TX,11.072245019138,5668.9899617982,7440.5491648602,1240253453,157872558784
1708641823,Device: id=0,TX,11.0739715519,5669.8775305592,7441.7129788633,1251327462,158581295872
1708641824,Device: id=0,TX,10.4650125239,5358.0833402515,7032.4853440755,1261792525,159251059520
1708641825,Device: id=0,TX,10.984808386003,5624.2254776308,7381.7948193913,1272777342,159954088256
1708641826,Device: id=0,TX,11.093298395711,5679.7692906023,7454.697033916,1283870677,160664061760
1708641827,Device: id=0,TX,11.079285445484,5672.5915880952,7445.2772593727,1294949995,161373137792
1708641828,Device: id=0,TX,6.451703104331,7718.1605636415,8750.4330603345,1301401769,162337918464
1708641829,Device: id=0,TX,2.3410775149453,9589.0504292297,9963.6228316209,1303742857,163536555136
1708641830,Device: id=0,TX,2.3403049862074,9585.8820555575,9960.3308533507,1306083179,164734799104
1708641831,Device: id=0,TX,2.3409746766883,9588.6332996892,9963.1892479593,1308424213,165933408640
1708641832,Device: id=0,TX,2.3398253618073,9583.9216100135,9958.2936679027,1310764077,167131418624
1708641833,Device: id=0,TX,2.3401982843215,9585.4491006145,9959.880826106,1313104301,168329612928
1708641834,Device: id=0,TX,2.3406877186114,9587.4538235009,9961.9638584787,1315445041,169528071424
1708641835,Device: id=0,TX,2.3376649811653,9575.0726908911,9949.0990878775,1317782735,170724970368
1708641836,Device: id=0,TX,2.3411743262346,9589.4469683115,9964.034860509,1320123951,171923672576
1708641837,Device: id=0,TX,2.3408878924529,9588.2696396189,9962.8117024114,1322464882,173122228352
1708641838,Device: id=0,TX,2.3409318540998,9588.4578983804,9963.0069950364,1324805842,174320800000
1708641839,Device: id=0,TX,2.3412209857908,9589.638085878,9964.2334436045,1327147123,175519535488
1708641840,Device: id=0,TX,2.3417682584413,9591.8797146498,9966.5626360004,1329488948,176718549504
1708641841,Device: id=0,TX,2.3418753191869,9592.318235448,9967.0182865179,1331830868,177917612160
